l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, battery, adapter, cables and user manuals|Inspiron 3525|Inspiron|Carbon Black|Notebook|Everyday Use|No description available|No description available|No description available|Athlon Dual Core|No description available|Yes|256 GB|8 GB|DDR4|3.2|16|AMD Radeon Radeon Graphics|2.0|84||
Laptop, battery, adapter, cables and user manuals|XPS 9305|No description available|Platinum Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|2.4 GHz upto max turbo frequency at 4.2 Ghz|32|Intel Integrated Iris Xe|8.0|85||
2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents|14ITL5|Yoga 7i|Slate Grey|2 in 1 Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Ryzen 7 Octa Core|5th Gen|Yes|512 GB|16 GB|DDR4|1.9 GHz|No description available|AMD Radeon Integrated AMD Radeon Graphics|0.0|86||
Laptop, Manual, Adaptor|FA506IC-HN075W|No description available|Black|Gaming Laptop|Gaming|No description available|DDR4|4 GB|Ryzen 7 Dual Core|7th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|NVIDIA GeForce RTX3050- 4GB|0.0|87||
Laptop, Power Adaptor, User Guide, Warranty Documents|FX506LH-HN258WS|TUF Gaming F15|Black Plastic|Gaming Laptop|Gaming|150W AC Adapter|GDDR6|4 GB|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|4.5|32|NVIDIA GeForce GTX GTX 1650|4.0|152||
Laptop, Manual, Adaptor|M515DA-BR322WS|No description available|Silver|Laptop|Entertainment, Everyday Use, Processing & Multitasking, Travel & Business|No description available|No description available|No description available|Ryzen 3 Quad Core|3rd Gen|Yes|256 GB|8 GB|DDR4|No description available|No description available|AMD Radeon amd redeon|0.0|88||
Laptop, Power Adaptor, User Guide, GV 301 Sleeve Bag, Pen, Warranty Documents|GV301QH-K6461TS|ROG Flow X13 (2021)|Black|2 in 1 Gaming Laptop|Gaming, Processing & Multitasking|100W AC Adapter|GDDR6|4 GB|Ryzen 9 Octa Core|5th Gen|Yes|1 TB|32 GB|LPDDR4X|3.1 GHz with Turbo Boost up to 4.5 GHz|16|NVIDIA GeForce GTX 1650|8.0|89||
Laptop, Battery, Power Adapter, User Guide, Stealth Trooper Backpack|GP66 Leopard 11UG|GP66 Leopard|Black|Gaming Laptop|Processing & Multitasking, Gaming|280 W AC Adapter|GDDR6|8 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|4.60 GHz with Max Turbo Frequency|64GB|NVIDIA GeForce RTX 3070|0.0|90||
Laptop, Manual, Adaptor|K513EA-L301WS|Vivobook 15 OLED|Hearty Gold|Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking|65W AC Adapter|DDR4|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|Intel® Core i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)|No description available|Intel Integrated Intel® UHD Graphics|2.0|91||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|CloudPro002|Book Prime|Grey|Thin and Light Laptop|Entertainment, Performance, Processing & Multitasking|65W Type-C Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|Base 3.2 GHz Turbo Boost Upto 4.5 GHz|No description available|Intel Integrated Iris Xe|0.0|92||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|CloudPro002|Book Prime|Green|Thin and Light Laptop|Entertainment, Performance, Processing & Multitasking|65W Type-C Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|Base 3.2 GHz Turbo Boost Upto 4.5 GHz|No description available|Intel Integrated Iris Xe|0.0|93||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|CloudPro002|Book Prime|Blue|Thin and Light Laptop|Entertainment, Performance, Processing & Multitasking|65W Type-C Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|Base 3.2 GHz Turbo Boost Upto 4.5 GHz|No description available|Intel Integrated Iris Xe|0.0|94||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|G15-5511 SE|G15|Obsidian Black|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|Base Frequency 2.6 GHz Upto Max Turbo Frequency at 4.4 GHz|32|NVIDIA GeForce RTX 3050 Ti|8.0|95||
Laptop, battery, adapter, cables and user manuals|G15-5515|No description available|Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|3.2 GHz upto max turbo frequency at 4.4 Ghz|No description available|NVIDIA GeForce RTX 3050|8.0|96||
Laptop, Power Adaptor, User Guide, Warranty Documents|NU14A1INC43PN-MB|SATUS|Matt Black|Laptop|Processing & Multitasking|No description available|No description available|No description available|Celeron Dual Core|No description available|Yes|128 GB|4 GB|DDR4|No description available|No description available|Intel Integrated UHD Graphics|0.0|97||
Laptop, battery, adapter, cables and user manuals|G15-5515|No description available|Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|3.2 GHz upto max turbo frequency at 4.4 Ghz|No description available|NVIDIA GeForce RTX 3050|8.0|98||
Laptop, Power Adaptor, User Guide, Warranty Documents|15s-fq2627TU|No description available|Jet Black|Thin and Light Laptop|Processing & Multitasking|45 W Smart AC power adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.7|16|Intel Integrated UHD Graphics|4.0|99||
Laptop, battery, adapter, cables and user manuals|G15-5515|No description available|Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|16 GB|DDR4|3.2 GHz upto max turbo frequency at 4.4 Ghz|No description available|NVIDIA GeForce RTX 3050|8.0|100||
Laptop, battery, adapter, cables and user manuals|M415DA-EB712WS|VivoBook 14 (2021)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Quad Core|No description available|Yes|512 GB|8 GB|DDR4|Base Frequency 2.10 GHz, Max Turbo Boost Frequency Up to 3.7 GHz|No description available|AMD Radeon Vega 8|0.0|101||
Laptop, Power Adaptor, User Guide, Warranty Documents|TP470EA-EC302WS|VivoBook Flip 14|Indie Black|2 in 1 Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|LPDDR4X|4.1|No description available|Intel Integrated UHD Graphics|2.0|102||
Laptop, Power Adaptor, User Guide, Warranty Documents|X515JA-BQ501W|VivoBook 15 (2021)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapterbattery_cell|No description available|No description available|Core i5|10th Gen|No|No description available|8 GB|DDR4|1.0 GHz upto max turbo frequency at 3.6 GHz|No description available|Intel Integrated UHD|4.0|103||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|BR1100CKA-GJ0722W|No description available|Star Grey|Laptop|Processing & Multitasking|45W AC Adapter|No description available|No description available|Celeron Dual Core|No description available|Yes|128 GB|4 GB|DDR4|2.8|No description available|Intel Integrated UHD Graphics|2.0|104||
Laptop, Power Adaptor, User Guide, Warranty Documents|BR1100FKA-BP1104W|No description available|Star Grey|Laptop|Processing & Multitasking|45W AC Adapter|No description available|No description available|Celeron Dual Core|No description available|Yes|128 GB|4 GB|DDR4|2.8|No description available|Intel Integrated UHD Graphics|2.0|105||
Laptop, Power Adaptor, User Guide, Warranty Documents|KM513UA-L711WS|VivoBook K15 OLED|Hearty Gold|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|4.3|No description available|AMD Radeon Radeon Graphics|8.0|106||
Laptop, Power Adaptor, User Guide, Warranty Documents|TP470EA-EC512WS|VivoBook Flip 14|Indie Black|2 in 1 Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|LPDDR4X|4.2|No description available|Intel Integrated Iris Xe Graphics|4.0|107||
Laptop, Power Adaptor, User Guide, Warranty Documents|KM513UA-L713WS|VivoBook K15 OLED|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|4.3|No description available|AMD Radeon Radeon Graphics|8.0|108||
Laptop, Power Adaptor, User Guide, Warranty Documents|X515MA-BR011W|VivoBook 15 (2022)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|33 W AC Adapter|No description available|No description available|Celeron Quad Core|No description available|Yes|256 GB|4 GB|DDR4|1.1 GHz upto max turbo frequency at 2.8 Ghz|No description available|Intel Integrated UHD|2.0|109||
Laptop, Power Adaptor, User Guide, Warranty Documents|TP470EA-EC312WS|VivoBook Flip 14|Indie Black|2 in 1 Laptop|Processing & Multitasking|65W AC Adapter, Li-ion battery|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|LPDDR4X|4.1|No description available|Intel Integrated UHD Graphics|2.0|110||
Laptop, Power Adaptor, User Guide, Warranty Documents|X515JA-BQ322WS|VivoBook 15 (2021)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|10th Gen|Yes|512 GB|8 GB|DDR4|1.2 GHz upto max turbo frequency at 3.4 Ghz|No description available|Intel Integrated UHD|2.0|111||
Laptop, battery, adapter, cables and user manuals|M415DA-EB512WS|VivoBook 14 (2021)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 7 Quad Core|No description available|Yes|512 GB|16 GB|DDR4|2.1 GHz with Turbo Boost Upto 4 GHz|No description available|AMD Radeon RX Vega 10|0.0|112||
Laptop, Power Adaptor, User Guide, Warranty Documents|X515EA-BR391W|VivoBook 15 (2021)|Slate Grey|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|11th Gen|No|No description available|8 GB|DDR4|Base Frequency 3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz|No description available|Intel Integrated UHD|2.0|113||
Laptop, Power Adaptor, User Guide, Warranty Documents|X515EA-EJ332WS|VivoBook 15 (2021)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|Base Frequency 3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz|No description available|Intel Integrated UHD|2.0|114||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-eh2024AU|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|65 W Smart AC power adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|4.3|No description available|AMD Radeon Radeon Graphics|6.0|115||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|15-ep1087TX|Envy|Natural Silver|Laptop|Processing & Multitasking|200 Watt Smart PFC Slim Adapter|GDDR6|6 GB|Core i9|11th Gen|Yes|1 TB|32 GB|DDR4|Max Turbo Frequency Upto 4.9 GHz|No description available|NVIDIA GeForce RTX 3060|8.0|116||
Laptop, Power Adapter, User Guide, Warranty Documents|14a-ca0504TU|Chromebook|Forest Teal|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Celeron Quad Core|No description available|No|No description available|4 GB|LPDDR4|2.8|No description available|Intel Integrated UHD Graphics|2.0|117||
Laptop, Power Adapter, User Guide, Warranty Documents|14a-ca0506TU|Chromebook|Mineral Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Celeron Dual Core|No description available|No|No description available|4 GB|LPDDR4|2.8|No description available|Intel Integrated UHD Graphics|2.0|118||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-ep1085TX|Envy|Natural Silver|Thin and Light Laptop|Processing & Multitasking|200 Watt Smart PFC Slim Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|4.6|No description available|NVIDIA GeForce RTX RTX 3050|8.0|119||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|14-EC1003AU|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|65 W Smart AC power adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|4.3|16|AMD Radeon Radeon Graphics|6.0|120||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-eh2018AU|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|65 W Smart AC power adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|4.3|16|AMD Radeon Radeon Graphics|6.0|121||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-eh2018AU|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|65 W Smart AC power adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|4.3|16|AMD Radeon Radeon Graphics|6.0|122||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|14-EC1003AU|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|65 W Smart AC power adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|4.3|16|AMD Radeon Radeon Graphics|6.0|123||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-ep1085TX|Envy|Natural Silver|Thin and Light Laptop|Processing & Multitasking|200 Watt Smart PFC Slim Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|4.6|No description available|NVIDIA GeForce RTX RTX 3050|8.0|124||
Laptop, battery, adapter, cables and user manuals|3511|Inspiron 3000|Black|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|4.1|16|Intel Integrated Intel UHD Graphics|2.0|125||
Laptop , Adaptor, & Manual|M515DA-BQ722WS|Vivobook 15|Transparent Silver|Laptop|Processing & Multitasking, Entertainment, Everyday Use, Performance, Travel & Business|No description available|No description available|No description available|Ryzen 7 Quad Core|No description available|Yes|512 GB|16 GB|DDR4|2.3 Ghz With Turbo Upto 4.0|No description available|AMD Radeon Radeon RX Vega 10 Graphics|4.0|126||
Laptop, Power Adaptor, User Guide, Warranty Documents|P1511CEA-BQ1758|ExpertBook|Slate Grey|Business Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|4 GB|DDR4|1.7 GHz with Turbo Boost Upto 4.1 GHz|No description available|Intel Integrated HD|2.0|127||
Laptop, Battery, Adapter, Cables and User Manuals|15IHU6|IdeaPad Gaming 3|Shadow Black|Gaming Laptop|Gaming|170W Slim Tip (3-pin)|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|Base Clock 3.10 GHz, Max Turbo Boost Frequency Up to 4.40 GHz|No description available|NVIDIA GeForce RTX 3050|0.0|128||
Laptop, battery, adapter, cables and user manuals|14-dy0207TU|Pavilion x360 Convertible|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|1.7 GHz upto max turbo frequency at 3.7 Ghz|No description available|Intel Integrated UHD|4.0|129||
Laptop, Power Adaptor, User Guide, Warranty Documents|14-ed0007qu|No description available|Natural Silver|Laptop|Processing & Multitasking|45 W USB Type-C power adapter|DDR4|No description available|Snapdragon 7c Gen 2|No description available|No|No description available|8 GB|LPDDR4X|2.4|No description available|Qualcomm Adreno Adreno 618 GPU|8.0|130||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|15ACH6|Ideapad Gaming 3|Shadow Black|Gaming Laptop|Gaming|135 W Slim Tip (3-pin)|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|Base 3.2 GHz with Max Frequency Upto 4.4 GHz|Upto 16 GB|NVIDIA GeForce GTX 1650|8.0|131||
Laptop, Battery, Adapter, Cables and User Manuals|15ACH6|IdeaPad Gaming 3|Shadow Black|Gaming Laptop|Gaming|170W Slim Tip (3-pin)|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|3.3 GHz upto max turbo frequency at 4.2 Ghz|No description available|NVIDIA GeForce RTX 3050|0.0|132||
Laptop, battery, adapter, cables and user manuals|14ITL05|IdeaPad Flex 5|Graphite Grey|2 in 1 Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|1.7 GHz upto max turbo frequency at 4.1 Ghz|No description available|Intel Integrated UHD|2.0|133||
Laptop, battery, adapter, cables and user manuals|11IGL05|IdeaPad 1|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Celeron Dual Core|No description available|Yes|256 GB|4 GB|DDR4|1.1 GHz upto max turbo frequency at 2.8 Ghz|No description available|Intel Integrated UHD|2.0|134||
Laptop, battery, adapter, cables and user manuals|14-dy1047TU|Pavilion x360 Convertible|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.9 GHz upto max turbo frequency at 5 GHz|No description available|Intel Integrated Iris Xe Graphics|4.0|135||
