l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, Power Adaptor, User Guide, Warranty Documents|14ITL6|IdeaPad|Arctic Grey|Thin and Light Laptop|Processing & Multitasking|65W Round Tip|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|4.2|No description available|Intel Integrated Iris Xe Graphics|4.0|217||
Laptop, Power Adaptor, User Guide, Warranty Documents|F571GT-HN1062T|Vivobook Gaming|Star Black|Gaming Laptop|Gaming|150W AC Adapter|GDDR5|4 GB|Core i5|9th Gen|Yes|256 GB|8 GB|DDR4|2.4 GHz Upto 4.1 GHz|No description available|NVIDIA GeForce GTX 1650|4.0|628||
Laptop, Adaptor & Manual|K14|Vivobook Ultra K14|Transparent Silver|Thin and Light Laptop|Travel & Business, Processing & Multitasking, Performance, Everyday Use, Entertainment|No description available|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|2.0 GHz (8M Cache, up to 3.7 GHz, 4 cores)|No description available|Intel Integrated Intel UHD Graphics for 11th Gen Intel Processors|4.0|218||
Laptop, Adaptor & Manual|X515MA-BR001WX515MA|Vivobook 15|Transparent Silver|Laptop|Everyday Use|33W AC Adapter, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal|No description available|No description available|Celeron Dual Core|No description available|No|No description available|4 GB|DDR4|Intel® Celeron® N4020 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)|No description available|Intel Integrated Intel UHD Graphics 600|2.0|219||
Laptop, Battery, Adapter, Cables and User Manuals|IdeaPad 5 Pro 14ACN6|Ideapad 5|Storm Grey|Thin and Light Laptop|Processing & Multitasking|65 W USB-C (3-pin)|No description available|No description available|Ryzen 7 Octa Core|No description available|Yes|1 TB|16 GB|DDR4|Base 1.9 GHz with Max Frequency Upto 4.4 GHz|No description available|AMD Radeon Radeon|8.0|220||
LAPTOP, ADAPTER, USER MANUAL|14ITL05|IdeaPad 5 14ITL05|Graphite Grey|Laptop|Performance, Entertainment, Everyday Use, Processing & Multitasking, Travel & Business|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|4.2 GHz|No description available|Intel Integrated Integrated Intel Iris Xe Graphics|4.0|221||
Laptop, Battery, Power Adapter, User Guide|Katana GF66 11UC-478IN|Katana GF66|Black|Gaming Laptop|Processing & Multitasking, Gaming|150 W AC Adapter|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.7 Ghz to 4.50 GHz|32GB|NVIDIA GeForce RTX 3050|6.0|222||
Laptop, Manual, Adapter|Modern 14 B5M|Modern 14|Carbon Gray|Thin and Light Laptop|Processing & Multitasking, Travel & Business|65W adapter|No description available|No description available|Ryzen 5 Hexa Core|5th Gen|Yes|256 GB|8 GB|DDR4|2.1 GHz up to 4.0 GHz|No description available|AMD Radeon AMD Radeon Graphics|6.0|223||
Laptop, Power Adaptor, User Guide, Warranty Documents|15s-fq2626TU|No description available|Jet Black|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|1.7 GHz upto max turbo frequency at 3.7 Ghz|No description available|Intel Integrated UHD|4.0|224||
Laptop, Battery, Adapter, Cables and User Manuals|G15-5515|No description available|Phantom Grey with speckles|Gaming Laptop|Gaming|No description available|GDDR6|6 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|3.2 GHz upto max turbo frequency at 4.4 Ghz|16|NVIDIA GeForce RTX 3060|8.0|225||
